"bv421 IgM","pe empty Klickmer"
24605.6,31.3398
1143.99,117.716
2161.91,33.2532
4174.82,-23.2451
23021.4,-5.0832
6061.66,-1.11195
3502.33,54.3014
16288.6,3.60047
4773.43,80.1752
7883.46,37.8115
3282.54,63.3037
19716.7,92.4613
4201.57,32.2965
7501.51,-4.60665
16784.8,-7.14825
1005.02,52.1627
11719.5,-19.2208
1371.67,22.8991
11346.2,54.3577
845.778,-5.45385
32535.3,83.6647
49995,45.0151
22312.8,-22.9274
853.249,8.7764
3089.5,38.3743
1222.35,-3.12405
5746.58,50.1929
7278.95,44.2272
7067.73,40.963
2665.7,35.4479
5698.72,-28.5401
24120.5,-27.1633
25360.7,49.9114
910.09,42.0323
22067.9,-11.2254
19983,59.4232
35508.1,29.5954
31604.8,58.0724
2432.32,4.55687
14681.1,74.5204
9617.39,18.3976
31098.4,37.5301
5666.07,93.5667
17074.7,64.4154
883.498,90.2497
41197.9,39.95
52846.9,22.7866
8900.91,8.72014
12846.2,-1.5885
759.262,23.6869
2940.24,71.6353
1041.12,44.2272
1520.4,83.2217
36698.3,60.4926
2730.38,-11.7549
4940.04,-19.2208
4381.08,34.8289
31627.4,-11.8078
31581.3,50.7557
6722.6,9.56407
906.799,56.6653
12636.5,-5.34795
26375.5,31.0585
26906.9,63.9708
4095.62,112.873
39692.7,30.1018
2540,-0.3177
6425.38,-15.1437
32894.6,52.1064
1456.56,-62.8517
9733.63,-27.9046
1415.86,-33.2526
9946.11,51.0371
8087.48,-5.87745
11610.8,55.6522
34667.9,48.8421
46776.2,82.2249
13787.3,12.3772
888.827,7.20109
1097.44,-9.05445
10972.9,-37.4886
1010.29,43.4955
22525.5,-13.9258
8633.06,3.88176
4720.82,-9.9546
934.123,68.1932
18604.4,2.02525
7412.85,38.937
49417.8,-50.1437
5960.62,0.506307
1984.8,78.0138
8472.41,-20.9153
30131.3,54.9205
3438.65,0.281281
10624.2,93.4562
1151.04,37.924
13541.6,-13.3434
31091.3,-16.997
914.531,80.8954
12842.3,27.5133
1051.83,79.4548
15332.9,67.7489
6001.42,16.0907
1040.86,-12.2315
2654.62,31.171
5183.13,-14.0847
6473.45,36.7422
10524.1,45.0151
11221.8,-35.4235
5092.69,104.387
30081,21.8863
28593.1,-0.7413
2484.31,47.3225
3411.53,31.9026
1517.01,48.1105
23522.8,-7.0953
35765.8,24.8123
8563.37,54.808
4534.52,31.6212
6105.55,13.7276
1144.56,7.42613
24711.9,53.4009
1113.22,34.8851
1306.52,34.0973
6343.05,-13.767
38916.2,33.1406
1884.02,116.396
1268.85,-7.25415
7543.56,26.8943
2153.29,-21.2859
41839.7,34.8851
41072.8,33.8159
19721.4,-4.50075
1059.04,19.9169
1275.48,13.1649
32453,-34.6823
1570.51,53.5698
1092.74,-10.643
2888.99,27.1757
2924.1,58.7478
27787,36.3483
21556.3,38.0929
15117.2,55.9899
8155.81,-37.4356
18262.3,-9.37215
5569.31,5.68206
749.336,-11.5961
7577.68,-51.838
2383.21,57.4533
3664.45,54.3014
3318.28,30.3269
1843.9,25.9377
10035.3,26.7255
1279.56,42.6513
35230.7,-13.0257
2326.32,34.8851
10653.1,-25.6278
1005.59,46.5346
11916.1,12.2084
1799.07,27.6258
31035.1,6.97605
850.48,55.5959
3557.61,-26.1043
1090.44,66.9157
5756.35,24.4184
11554.2,5.56954
2198.22,27.0631
13550.2,7.93248
21384.5,50.9808
1735.55,-21.233
8205.39,52.8944
3854.09,54.5828
1201.25,21.0985
1021.89,95.2244
957.424,46.3658
876.132,-4.8714
6784.46,3.37544
27186.7,4.95069
17006.1,-12.8139
770.808,-39.9243
1031.24,52.7255
38083,-12.8669
4055.34,0.843847
2846.62,23.4618
1101.04,-36.8003
3214.47,50.024
5917.26,44.2834
4401.87,54.8643
13442.9,22.7866
28500.4,44.396
6590.68,-5.77155
905.441,103.836
10052.7,11.1957
32558.9,-0.26475
1228.52,54.8643
35452.1,-16.3086
16387.5,15.1342
891.857,80.4522
2897.45,43.6081
7931.32,66.7491
874.147,38.1491
770.808,26.7818
22113.9,45.3527
1004.91,7.70744
10976.2,-21.6566
987.464,65.1934
859.153,42.6513
1034.38,29.4828
43244.1,-15.1967
985.949,69.6924
30146.3,-7.04235
34747.3,131.45
12556.9,-57.0271
2979.74,12.0959
4421.57,6.97605
19347.6,6.52596
21161.7,13.39
3978.96,18.7915
2228.89,0.900104
17510,0.506307
49493.3,35.1102
11258.4,4.83817
22133.5,35.1102
996.293,22.1113
25438.4,-22.1861
4628.3,12.3772
1161.8,61.0555
3597.36,-14.1377
942.429,37.305
1494.34,23.7994
2127.9,5.45702
27451.8,88.867
35766,-15.6732
28627.1,71.0803
3503.59,58.0724
826.97,22.8428
905.754,-4.71255
26419.9,70.1366
57404.3,5.17572
2429.08,60.2675
7878.5,39.2184
44017.5,29.0327
4516.39,19.8043
1594.02,68.5819
1206.68,-18.9032
49299.2,32.5779
1552.43,41.5821
35674.8,58.7478
1270.89,8.72014
1790.82,25.8252
1170.16,34.4349
10086.3,17.5536
8965.85,54.9768
8232.66,-35.4765
6696.01,22.2801
2683.83,90.9686
1009.98,41.976
1965.58,9.39528
23182.1,17.1035
17941.9,21.0422
5817,3.82551
2522.29,35.7293
9284.44,28.0198
3682.68,95.7216
33524.2,-9.1074
757.695,6.80726
2758.74,-4.7655
13064.4,73.5219
13359,58.6915
9482.5,88.867
7134.02,24.0808
5407.78,-25.3101
22195.6,51.1496
2243.51,47.8291
9724.59,58.2975
5157.06,-15.8321
3668.89,71.6908
3822.22,-18.4266
5099.43,56.6653
1028.58,21.9988
1137.87,-31.7171
32796.1,33.7034
1196.07,-17.5794
21927.4,49.63
2371.25,50.6994
910.143,28.8638
13030.3,-0.79425
9120.86,159.842
6041.5,118.266
29950,-16.7852
6513.78,16.0907
6270.06,45.1276
8223.73,-14.2965
2898.34,49.7426
4528.3,19.8043
2573.85,-11.8078
2476.84,88.4798
4517.38,3.20666
2271.73,4.83817
1068.29,8.60762
1456.82,24.4747
1865.84,47.1537
11830.4,77.8475
2400.19,-19.6974
7671.19,48.9547
1843.27,-14.4553
19573.4,51.6562
32182.1,-32.4054
17061.6,29.314
1505.41,22.3364
1483.94,23.0116
4593.5,76.1842
36636.9,15.4718
1187.35,4.83817
24094.6,53.7949
762.867,-16.3086
1388.7,-8.472
1014.53,67.6378
1608.28,41.8072
26009.7,0.168769
1761.35,7.81996
35591.3,-7.25415
13975.1,27.2319
816.156,56.5527
4443.2,34.8851
